,question,entity,easting,northing,wikipedia
92,https://id.parliament.uk/6EhQIexp,National_Audit_Office_(United_Kingdom),528636.731140711,178585.424107546,https://en.wikipedia.org/wiki/National_Audit_Office_(United_Kingdom)
93,https://id.parliament.uk/OsGYOJXk,House_of_Commons_of_the_United_Kingdom,530267.582082805,179550.40181962,https://en.wikipedia.org/wiki/House_of_Commons_of_the_United_Kingdom
94,https://id.parliament.uk/RxybkSsq,"Embassy_of_Sudan,_London",529289.842669405,180081.946184953,"https://en.wikipedia.org/wiki/Embassy_of_Sudan,_London"
95,https://id.parliament.uk/4ifW5iXa,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
96,https://id.parliament.uk/uCNe8058,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
97,https://id.parliament.uk/qTzCvNCT,RAF_Scampton,496658.390480152,379960.631335718,https://en.wikipedia.org/wiki/RAF_Scampton
98,https://id.parliament.uk/AY23OJcC,Brighton,531289.110198692,104018.298244422,https://en.wikipedia.org/wiki/Brighton
99,https://id.parliament.uk/AY23OJcC,Hove,528552.041993163,105548.472750481,https://en.wikipedia.org/wiki/Hove
100,https://id.parliament.uk/oTTUn1Zh,Senedd,319496.228394806,174672.82682362,https://en.wikipedia.org/wiki/Senedd
101,https://id.parliament.uk/RCuZHdBQ,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
102,https://id.parliament.uk/24SFXv3V,Great_Britain,400097.642679143,455996.50366397,https://en.wikipedia.org/wiki/Great_Britain
103,https://id.parliament.uk/YwM9NdGT,Westmorland,362319.380565767,511787.427429631,https://en.wikipedia.org/wiki/Westmorland
104,https://id.parliament.uk/YwM9NdGT,Lonsdale_Hundred,346539.482272785,472997.135502067,https://en.wikipedia.org/wiki/Lonsdale_Hundred
105,https://id.parliament.uk/2fg2E35N,Slough,498082.779241162,179773.798368362,https://en.wikipedia.org/wiki/Slough
106,https://id.parliament.uk/nKSdoDw5,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
107,https://id.parliament.uk/VQrOksMf,Hounslow,512974.190267233,175455.283371097,https://en.wikipedia.org/wiki/Hounslow
108,https://id.parliament.uk/VQrOksMf,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London
109,https://id.parliament.uk/CcIEW98r,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
110,https://id.parliament.uk/w8KMWwTs,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
111,https://id.parliament.uk/fgcShOWw,Ofwat,406984.265045655,286490.438095365,https://en.wikipedia.org/wiki/Ofwat
112,https://id.parliament.uk/gLkugRCk,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
